2025/03/23 01:13:03 master.go:33: Setting up new master...
2025/03/23 01:13:03 master.go:34: PID: 136038
2025/03/23 01:13:03 master.go:35: CFG: {0xc00009c630 master localhost 3333 m1 NA}
2025/03/23 01:13:03 commsBox.go:104: Listening on  localhost:3333
2025/03/23 01:13:06 commsBox.go:89: Received message: <ok>
2025/03/23 01:13:25 commsBox.go:89: Received message: <test>
2025/03/23 01:13:28 commsBox.go:89: Received message: <let>
2025/03/23 01:13:29 commsBox.go:89: Received message: <sdf>
2025/03/23 01:13:30 commsBox.go:89: Received message: <sdfs>
2025/03/23 01:13:30 commsBox.go:89: Received message: <F>
2025/03/23 01:13:30 commsBox.go:89: Received message: <ASDF>
2025/03/23 01:13:30 commsBox.go:89: Received message: <SD>
2025/03/23 01:13:31 commsBox.go:89: Received message: <FSA>
2025/03/23 01:13:31 commsBox.go:89: Received message: <DF>
2025/03/23 01:13:31 commsBox.go:89: Received message: <SD>
